lamb,seed,n_unobs,n_pos,auc,sib_conv
0.0327,30,210,6,0.9656862745098038,True
0.0327,31,210,1,0.9952153110047848,True
0.0327,32,210,2,0.966346153846154,True
0.0327,33,210,3,0.9549114331723026,True
0.0327,34,210,7,0.9732582688247712,True
0.0327,35,210,5,0.8009756097560976,True
0.0327,36,210,8,0.9857673267326732,True
0.0327,37,210,11,0.966651439013248,True
0.0327,38,210,8,0.988861386138614,True
0.0327,39,210,7,0.936664320900774,True
0.0327,40,210,4,0.9866504854368932,True
0.0327,41,210,3,0.748792270531401,True
0.0327,42,210,6,0.915032679738562,True
0.0327,43,210,11,0.906806761078118,True
0.0327,44,210,8,0.9105816831683168,True
0.0327,45,210,9,0.9917081260364842,True
0.0327,46,210,6,0.9926470588235294,True
0.0327,47,210,13,0.9265911753221396,True
0.0327,48,210,7,0.9732582688247712,True
0.0327,49,210,3,0.9887278582930756,True
0.0327,50,210,6,0.9901960784313724,True
0.0483,1,210,14,0.9673833819241984,True
0.0483,2,210,15,0.9353846153846156,True
0.0483,3,210,10,0.954,True
0.0483,4,210,6,0.7328431372549019,True
0.0483,5,210,9,1.0,True
0.0483,6,210,13,0.9683717297930496,True
0.0483,7,210,12,0.8320707070707071,True
0.0483,8,210,6,0.6544117647058824,True
0.0483,9,210,15,0.9931623931623932,True
0.0483,10,210,5,0.953170731707317,True
0.0483,11,210,7,1.0,True
0.0483,12,210,7,0.9035890218156228,True
0.0483,13,210,11,0.9917770671539516,True
0.0483,14,210,13,0.992581023037876,True
0.0483,15,210,12,0.9524410774410774,True
0.0483,16,210,2,0.997596153846154,True
0.0483,17,210,5,0.9248780487804876,True
0.0483,18,210,9,0.9966832504145936,True
0.0483,19,210,7,0.9936664320900774,True
0.0483,20,210,16,0.9958118556701032,True
0.0483,21,210,2,1.0,True
0.0483,22,210,18,0.7662037037037037,True
0.0483,23,210,4,0.9951456310679612,True
0.0483,24,210,12,0.957912457912458,True
0.0483,25,210,8,0.9040841584158416,True
0.0483,26,210,11,0.9881224303334856,True
0.0483,27,210,6,0.8366013071895424,True
0.0483,28,210,11,0.977615349474646,True
0.0483,29,210,12,0.9856902356902356,True
0.0483,30,210,4,0.9890776699029126,True
0.0483,31,210,17,0.971654983236818,True
0.0483,32,210,10,0.9965,True
0.0483,33,210,3,0.5603864734299517,True
0.0483,34,210,18,0.974826388888889,True
0.0483,35,210,7,0.8296973961998592,True
0.0483,36,210,12,0.9945286195286196,True
0.0483,37,210,6,0.9705882352941178,True
0.0483,38,210,6,0.9983660130718954,True
0.0483,39,210,3,0.8260869565217391,True
0.0483,40,210,13,0.9472862163217493,True
0.0483,41,210,12,0.9928451178451178,True
0.0483,42,210,7,0.9929627023223082,True
0.0483,43,210,22,0.9397969052224372,True
0.0483,44,210,26,0.9868311036789298,True
0.0483,45,210,9,0.9322830292979548,True
0.0483,46,210,9,0.6293532338308458,True
0.0483,47,210,15,0.9911111111111112,True
0.0483,48,210,10,0.979,True
0.0483,49,210,18,0.9849537037037036,True
0.0483,50,210,17,0.967997561718988,True
0.0713,1,210,10,0.9955,True
0.0713,2,210,6,0.9133986928104576,True
0.0713,3,210,19,0.988426563791678,True
0.0713,4,210,9,0.9994472084024324,True
0.0713,5,210,19,0.9829154036924772,False
0.0713,6,210,20,0.9613157894736842,False
0.0713,7,210,14,0.9757653061224488,True
0.0713,8,210,12,0.9726430976430976,True
0.0713,9,210,22,0.9748549323017408,True
0.0713,10,210,2,0.8004807692307692,True
0.0713,11,210,23,0.9958149267612184,False
0.0713,12,210,11,0.9634536317953404,True
0.0713,13,210,14,0.9810495626822155,False
