lamb,nobs,seed,n_unobs,n_pos,auc,sib_conv
0.07,45,11,255,23,0.982008995502249,False
0.07,45,12,255,11,0.8114754098360656,True
0.07,45,13,255,38,0.9784137763764248,True
0.07,45,14,255,8,0.6847165991902835,True
0.07,45,15,255,15,0.9913888888888888,True
0.07,45,16,255,21,0.9676434676434676,True
0.07,45,17,255,23,0.9763868065967016,True
0.07,45,18,255,40,0.9976744186046512,True
0.07,45,19,255,10,0.9212244897959184,True
0.07,45,20,255,14,0.996443390634262,False
0.07,45,21,255,7,0.8706797235023042,True
0.07,45,22,255,23,0.9979385307346328,True
0.07,45,23,255,26,0.9832045683574068,True
0.07,45,24,255,14,0.8823355068168346,True
0.07,45,25,255,26,0.9823647967752772,False
0.07,45,26,255,14,0.8458802608180201,True
0.07,45,27,255,18,0.9978902953586498,False
0.07,45,28,255,14,0.49407231772377,True
0.07,45,29,255,16,0.926255230125523,True
0.07,45,30,255,6,0.8413654618473896,True
0.07,45,31,255,17,0.9426594167078596,True
0.07,45,32,255,8,0.9848178137651822,True
0.07,45,33,255,19,0.927743086529884,True
0.07,45,34,255,11,0.970193740685544,True
0.07,45,35,255,22,0.9916113928989466,True
0.07,45,36,255,16,0.9924163179916318,True
0.07,45,37,255,6,0.9384203480589024,True
0.07,45,38,255,9,0.8915989159891599,True
0.07,45,39,255,14,0.950355660936574,True
0.07,45,40,255,12,0.9749657064471878,False
0.07,45,41,255,34,0.9736491881820604,False
0.07,45,42,255,29,0.9919133353677144,True
0.07,45,43,255,36,0.9696854388635212,False
0.07,45,44,255,38,0.97586708707252,True
0.07,45,45,255,25,0.9812173913043478,True
0.07,45,46,255,2,0.8636363636363636,True
0.07,45,47,255,36,0.9682902080162354,False
0.07,45,48,255,13,0.8715829624920534,True
0.07,45,49,255,20,0.9851063829787232,True
0.07,45,50,255,26,0.9660732280819616,False
0.07,165,1,135,12,0.9952574525745256,True
0.07,165,2,135,14,0.9982290436835892,True
0.07,165,3,135,8,0.9783464566929132,True
0.07,165,4,135,3,0.9924242424242424,True
0.07,165,5,135,8,0.984251968503937,True
0.07,165,6,135,12,1.0,True
0.07,165,7,135,1,0.9626865671641792,True
0.07,165,8,135,6,0.9896640826873384,True
0.07,165,9,135,14,0.998819362455726,True
0.07,165,10,135,10,0.9944,True
0.07,165,11,135,12,0.9986449864498644,False
0.07,165,12,135,8,1.0,True
0.07,165,13,135,24,0.9958708708708708,True
0.07,165,14,135,5,0.9953846153846152,True
0.07,165,15,135,10,0.9936,True
0.07,165,16,135,15,0.9813888888888888,False
0.07,165,17,135,15,0.9955555555555556,True
0.07,165,18,135,21,0.9991645781119466,True
0.07,165,19,135,4,1.0,True
0.07,165,20,135,11,0.998533724340176,False
0.07,165,21,135,3,0.9949494949494948,True
0.07,165,22,135,11,1.0,True
0.07,165,23,135,15,1.0,True
0.07,165,24,135,9,0.988536155202822,True
0.07,165,25,135,12,0.9986449864498644,True
0.07,165,26,135,5,0.9753846153846154,True
0.07,165,27,135,10,0.9904,False
0.07,165,28,135,5,0.9923076923076924,True
0.07,165,29,135,13,0.9918032786885246,True
0.07,165,30,135,5,0.96,True
0.07,165,31,135,10,0.9968,True
0.07,165,32,135,6,1.0,True
0.07,165,33,135,8,0.9960629921259844,True
0.07,165,34,135,7,0.9977678571428572,True
0.07,165,35,135,6,1.0,True
0.07,165,36,135,10,0.9976,False
0.07,165,37,135,3,1.0,True
0.07,165,38,135,5,1.0,True
0.07,165,39,135,5,1.0,True
0.07,165,40,135,6,0.9935400516795866,True
0.07,165,41,135,16,0.9994747899159664,False
0.07,165,42,135,15,0.995,False
0.07,165,43,135,15,0.986111111111111,False
0.07,165,44,135,25,0.9778181818181818,True
0.07,165,45,135,12,0.994579945799458,True
0.07,165,46,135,2,0.9887218045112782,True
0.07,165,47,135,24,0.9733483483483484,False
0.07,165,48,135,4,1.0,True
0.07,165,49,135,6,0.9909560723514212,True
0.07,165,50,135,14,0.987012987012987,False
0.07,255,1,45,3,0.9841269841269842,True
0.07,255,2,45,7,0.9849624060150376,True
0.07,255,3,45,1,0.9772727272727272,True
0.07,255,4,45,1,0.9772727272727272,True
0.07,255,5,45,2,0.9767441860465116,True
0.07,255,6,45,4,1.0,False
0.07,255,7,45,1,1.0,True
0.07,255,8,45,2,1.0,True
0.07,255,9,45,6,0.9957264957264956,True
0.07,255,10,45,2,1.0,True
0.07,255,11,45,6,0.9957264957264956,False
0.07,255,12,45,2,1.0,True
0.07,255,13,45,5,0.995,True
0.07,255,14,45,1,0.9545454545454544,True
0.07,255,15,45,2,1.0,True
0.07,255,16,45,5,0.975,False
0.07,255,17,45,4,1.0,True
0.07,255,18,45,9,1.0,True
0.07,255,19,45,2,1.0,True
0.07,255,20,45,1,1.0,True
0.07,255,21,45,1,0.9090909090909092,True
0.07,255,22,45,5,1.0,True
0.07,255,23,45,6,0.9957264957264956,True
0.07,255,24,45,3,0.984126984126984,True
0.07,255,25,45,4,1.0,True
0.07,255,26,45,1,0.931818181818182,True
0.07,255,27,45,2,1.0,False
0.07,255,28,45,2,1.0,True
0.07,255,29,45,4,1.0,True
0.07,255,30,45,2,0.9767441860465116,True
0.07,255,31,45,1,1.0,True
0.07,255,32,45,2,1.0,True
0.07,255,33,45,4,0.9878048780487804,True
0.07,255,34,45,1,1.0,True
0.07,255,35,45,3,1.0,True
0.07,255,36,45,3,1.0,True
0.07,255,37,45,4,0.9603658536585366,True
0.07,255,38,45,1,1.0,True
0.07,255,39,45,4,1.0,True
0.07,255,40,45,1,1.0,True
0.07,255,41,45,6,0.9957264957264956,False
0.07,255,42,45,4,1.0,True
0.07,255,43,45,9,0.9969135802469136,False
0.07,255,44,45,10,0.9971428571428572,True
0.07,255,45,45,5,1.0,False
0.07,255,46,45,1,1.0,True
0.07,255,47,45,6,1.0,False
0.07,255,48,45,5,1.0,True
0.07,255,49,45,3,0.992063492063492,True
0.07,255,50,45,5,0.995,False
0.07,195,1,105,15,0.9970370370370368,True
0.07,195,2,105,9,0.9965277777777776,True
0.07,195,3,105,6,0.9966329966329966,True
0.07,195,4,105,6,0.9966329966329966,True
0.07,195,5,105,7,0.9927113702623908,True
0.07,195,6,105,15,0.9955555555555556,True
0.07,195,7,105,4,0.7722772277227722,True
0.07,195,8,105,3,0.9901960784313726,True
0.07,195,9,105,11,0.9990328820116054,True
0.07,195,10,105,6,1.0,True
0.07,195,11,105,14,0.9968602825745684,False
0.07,195,12,105,2,1.0,True
0.07,195,13,105,13,1.0,True
0.07,195,14,105,4,1.0,True
0.07,195,15,105,10,0.9978947368421052,True
0.07,195,16,105,6,0.9671717171717172,False
0.07,195,17,105,6,1.0,True
0.07,195,18,105,20,1.0,True
0.07,195,19,105,8,0.9871134020618556,False
0.07,195,20,105,5,1.0,True
0.07,195,21,105,3,1.0,True
0.07,195,22,105,5,0.998,True
0.07,195,23,105,6,0.9983164983164984,True
0.07,195,24,105,7,0.979591836734694,False
0.07,195,25,105,12,0.9740143369175628,True
0.07,195,26,105,7,0.9664723032069972,True
0.07,195,27,105,7,0.998542274052478,False
0.07,195,28,105,7,0.9868804664723032,True
0.07,195,29,105,11,0.9961315280464216,True
0.07,195,30,105,3,0.9934640522875816,True
0.07,195,31,105,6,1.0,True
0.07,195,32,105,3,1.0,True
0.07,195,33,105,6,0.9747474747474748,True
0.07,195,34,105,5,1.0,True
0.07,195,35,105,13,0.9974916387959866,True
0.07,195,36,105,8,0.9929123711340206,True
0.07,195,37,105,3,0.9934640522875816,True
0.07,195,38,105,3,0.9869281045751634,True
0.07,195,39,105,5,1.0,True
0.07,195,40,105,5,1.0,True
0.07,195,41,105,13,0.9991638795986622,False
0.07,195,42,105,12,0.986559139784946,True
0.07,195,43,105,18,0.98786717752235,False
0.07,195,44,105,14,1.0,True
0.07,195,45,105,9,0.9895833333333331,False
0.07,195,46,105,1,1.0,True
0.07,195,47,105,22,0.9720700985761226,False
0.07,195,48,105,9,1.0,True
0.07,195,49,105,14,0.9850863422291992,True
0.07,195,50,105,15,0.9688888888888888,False
0.07,225,1,75,9,1.0,True
0.07,225,2,75,5,0.9971428571428572,True
0.07,225,3,75,6,0.9589371980676328,True
0.07,225,4,75,4,1.0,True
0.07,225,5,75,7,1.0,True
0.07,225,6,75,10,0.9969230769230768,False
0.07,225,7,75,3,0.9907407407407408,True
0.07,225,8,75,4,0.9964788732394366,True
0.07,225,9,75,3,1.0,True
0.07,225,10,75,7,0.9957983193277312,True
0.07,225,11,75,6,1.0,False
0.07,225,12,75,2,1.0,True
0.07,225,13,75,11,0.9971590909090908,True
0.07,225,14,75,2,0.9726027397260274,True
0.07,225,15,75,5,1.0,True
0.07,225,16,75,5,1.0,False
0.07,225,17,75,9,0.98989898989899,True
0.07,225,18,75,11,1.0,True
0.07,225,19,75,3,0.9953703703703703,True
0.07,225,20,75,3,1.0,True
0.07,225,21,75,1,1.0,True
0.07,225,22,75,7,1.0,True
0.07,225,23,75,4,0.9964788732394366,True
0.07,225,24,75,5,0.9828571428571428,True
0.07,225,25,75,10,0.9984615384615384,False
0.07,225,26,75,2,0.9931506849315068,True
0.07,225,27,75,6,0.997584541062802,False
0.07,225,28,75,6,0.9975845410628018,True
0.07,225,29,75,5,1.0,True
0.07,225,30,75,2,0.9794520547945206,True
0.07,225,31,75,8,0.9962686567164178,True
0.07,225,32,75,2,1.0,True
0.07,225,33,75,6,0.9855072463768116,True
0.07,225,34,75,5,1.0,True
0.07,225,35,75,7,1.0,True
0.07,225,36,75,4,1.0,False
0.07,225,37,75,2,1.0,True
