lamb,seed,n_unobs,n_pos,auc,scdc_conv
0.0713,11,210,136,0.7379807692307693,true
0.0713,12,210,94,0.996130458817026,false
0.0713,13,210,46,0.9911553344389166,true
0.0713,14,0,0,0.9983277591973244,false
0.0713,15,210,18,1.0,false
0.0713,16,210,32,0.9941756272401434,true
0.0713,17,0,0,0.9545747422680413,false
0.0713,18,0,0,0.9933211900425015,false
0.0713,19,210,101,0.9825,true
0.0713,20,0,0,0.9548267326732673,false
0.0713,21,210,61,0.9885405405405405,false
0.0713,22,0,0,0.9468957438500586,true
0.0713,23,210,23,0.8833609729132117,false
0.0713,24,0,0,0.9891660367850844,true
0.0713,25,210,37,0.9863861386138614,true
0.0713,26,210,96,0.998172681589767,false
0.0713,27,210,117,0.9882858258492776,true
0.0713,28,0,0,0.9949238578680203,false
0.0713,29,0,0,0.9393164380376656,true
0.0713,30,0,0,0.9960952752830925,false
0.0713,31,210,53,0.9730573994533386,false
0.0713,32,0,0,0.9975728155339806,false
0.0713,33,210,80,0.9665905540199495,false
0.0713,34,0,0,0.9681712962962963,false
0.0713,35,210,103,0.9738691656154262,false
0.0713,36,210,31,0.9474009900990099,false
0.0713,37,210,49,0.9915824915824916,false
0.0713,38,0,0,0.9993811881188119,false
0.0713,39,210,17,0.9921875,false
0.0713,40,210,100,0.9853128991060025,false
0.0713,41,210,72,1.0,false
0.0713,42,0,0,0.9982363315696648,false
0.0713,43,210,119,0.995049504950495,false
0.0713,44,0,0,0.983421052631579,false
0.0713,45,0,0,0.9862967914438503,false
0.0713,46,210,52,0.959,false
0.0713,47,210,96,0.9988226059654631,false
0.0713,48,0,0,0.990979381443299,false
0.0713,49,210,21,0.9996778350515464,false
0.0713,50,0,0,0.9962374581939799,false
0.1052,1,210,145,0.9952623906705539,true
0.1052,2,0,0,0.953542780748663,false
0.1052,3,0,0,0.9926470588235294,false
0.1052,4,210,105,0.9911351351351352,false
0.1052,5,210,65,0.9972569338616275,false
0.1052,6,210,49,0.9982815185127324,false
0.1052,7,0,0,0.99972444199504,false
0.1052,8,0,0,0.9942090825967693,true
0.1052,9,210,57,0.99811872909699,false
0.1052,10,0,0,0.9866255144032922,false
0.1052,11,210,75,0.993945945945946,false
0.1052,12,0,0,0.995046675557249,false
0.1052,13,0,0,0.9923273657289002,false
0.1052,14,0,0,0.9811111111111112,false
0.1052,15,0,0,0.9442162162162162,false
0.1052,16,210,22,0.9914336104812296,false
0.1052,17,210,100,0.9702970297029703,true
0.1052,18,210,47,0.9961081081081081,true
0.1052,19,0,0,0.9725405405405405,false
0.1052,20,0,0,0.9977809685419659,false
0.1052,21,210,64,0.9754050925925926,false
0.1052,22,0,0,0.9993513513513513,false
0.1052,23,210,67,1.0,false
0.1052,24,0,0,0.9954896907216495,false
0.1052,25,210,134,0.9674329501915708,false
0.1052,26,210,52,0.9913973494536155,false
0.1052,27,0,0,0.9959687578735198,false
0.1052,28,0,0,0.9740740740740741,false
0.1052,29,210,14,0.9799562682215743,true
0.1052,30,0,0,0.9925431711145997,true
0.1052,31,210,48,0.9931475559616263,false
0.1052,32,210,115,0.9821589475581186,false
