lamb,nobs,seed,n_unobs,n_pos,auc
0.07,255,48,45,5,1.0
0.07,255,49,45,3,0.9841269841269842
0.07,255,50,45,5,0.9975
0.07,195,1,105,15,0.9962962962962963
0.07,195,2,105,9,1.0
0.07,195,3,105,6,0.9882154882154882
0.07,195,4,105,6,0.9924242424242424
0.07,195,5,105,7,0.9978134110787172
0.07,195,6,105,15,0.9933333333333334
0.07,195,7,105,4,0.745049504950495
0.07,195,8,105,3,0.9869281045751632
0.07,195,9,105,11,0.9990328820116054
0.07,195,10,105,6,1.0
0.07,195,11,105,14,0.978806907378336
0.07,195,12,105,2,0.9927184466019418
0.07,195,13,105,13,0.9979096989966556
0.07,195,14,105,4,1.0
0.07,195,15,105,10,0.9947368421052633
0.07,195,16,105,6,0.9671717171717172
0.07,195,17,105,6,1.0
0.07,195,18,105,20,0.9970588235294118
0.07,195,19,105,8,0.991623711340206
0.07,195,20,105,5,1.0
0.07,195,21,105,3,0.9967320261437908
0.07,195,22,105,5,0.994
0.07,195,23,105,6,0.9974747474747474
0.07,195,24,105,7,0.96865889212828
0.07,195,25,105,12,0.967741935483871
0.07,195,26,105,7,0.9642857142857144
0.07,195,27,105,7,0.9970845481049564
0.07,195,28,105,7,0.9839650145772596
0.07,195,29,105,11,0.9941972920696324
0.07,195,30,105,3,0.9869281045751634
0.07,195,31,105,6,1.0
0.07,195,32,105,3,0.9983660130718954
0.07,195,33,105,6,0.9638047138047138
0.07,195,34,105,5,1.0
0.07,195,35,105,13,0.9941471571906356
0.07,195,36,105,8,0.9929123711340204
0.07,195,37,105,3,0.9967320261437908
0.07,195,38,105,3,0.9722222222222222
0.07,195,39,105,5,1.0
0.07,195,40,105,5,1.0
0.07,195,41,105,13,0.9937290969899664
0.07,195,42,105,12,0.9946236559139784
0.07,195,43,105,18,0.9843550446998725
0.07,195,44,105,14,0.9988226059654632
0.07,195,45,105,9,0.9820601851851852
0.07,195,46,105,1,1.0
0.07,195,47,105,22,0.9701533406352684
0.07,195,48,105,9,1.0
0.07,195,49,105,14,0.9791993720565147
0.07,195,50,105,15,0.9703703703703704
0.07,225,1,75,9,1.0
0.07,225,2,75,5,1.0
0.07,225,3,75,6,0.9456521739130436
0.07,225,4,75,4,1.0
0.07,225,5,75,7,0.9695378151260504
0.07,225,6,75,10,0.9953846153846154
0.07,225,7,75,3,0.9907407407407408
0.07,225,8,75,4,0.9859154929577464
0.07,225,9,75,3,1.0
0.07,225,10,75,7,0.9936974789915968
0.07,225,11,75,6,1.0
0.07,225,12,75,2,1.0
0.07,225,13,75,11,0.9943181818181818
0.07,225,14,75,2,0.9726027397260276
0.07,225,15,75,5,1.0
0.07,225,16,75,5,0.9971428571428572
0.07,225,17,75,9,0.9831649831649832
0.07,225,18,75,11,1.0
0.07,225,19,75,3,0.9907407407407408
0.07,225,20,75,3,1.0
0.07,225,21,75,1,1.0
0.07,225,22,75,7,1.0
0.07,225,23,75,4,1.0
0.07,225,24,75,5,0.9742857142857144
0.07,225,25,75,10,0.9815384615384616
0.07,225,26,75,2,0.9691780821917808
0.07,225,27,75,6,0.9963768115942028
0.07,225,28,75,6,0.9879227053140096
0.07,225,29,75,5,0.9971428571428572
0.07,225,30,75,2,0.9897260273972605
0.07,225,31,75,8,0.9944029850746268
0.07,225,32,75,2,0.9965753424657534
0.07,225,33,75,6,0.9806763285024156
0.07,225,34,75,5,1.0
0.07,225,35,75,7,0.9957983193277312
0.07,225,36,75,4,1.0
0.07,225,37,75,2,1.0
0.07,225,38,75,4,1.0
0.07,225,39,75,8,0.8731343283582089
0.07,225,40,75,3,0.9837962962962964
0.07,225,41,75,8,0.9944029850746268
0.07,225,42,75,11,0.9758522727272728
0.07,225,43,75,6,0.9951690821256038
0.07,225,44,75,8,0.976679104477612
0.07,225,45,75,3,1.0
0.07,225,46,75,1,1.0
0.07,225,47,75,11,0.978693181818182
0.07,225,48,75,2,1.0
0.07,225,49,75,8,0.992537313432836
0.07,225,50,75,13,0.9826302729528535
