lamb,n_obs,seed,n_unobs,n_pos,auc,scdc_conv
0.07,0,38,0,0,0.9869281045751634,true
0.07,0,39,0,0,1.0,true
0.07,0,40,0,0,1.0,false
0.07,0,41,0,0,0.9991638795986622,false
0.07,0,42,0,0,0.9865591397849462,false
0.07,285,43,15,1,0.9897828863346104,false
0.07,225,44,75,8,0.9992150706436421,true
0.07,255,45,45,9,0.9895833333333334,false
0.07,0,46,0,0,1.0,true
0.07,0,47,0,0,0.9726177437020811,false
0.07,0,48,0,0,1.0,false
0.07,0,49,0,0,0.9843014128728415,true
0.07,0,50,0,0,0.9740740740740741,false
0.07,225,1,75,13,1.0,true
0.07,285,2,15,3,0.9971428571428571,false
0.07,255,3,45,10,0.9541062801932367,false
0.07,0,4,0,0,1.0,false
0.07,0,5,0,0,1.0,false
0.07,0,6,0,0,0.9969230769230769,false
0.07,0,7,0,0,0.9953703703703703,false
0.07,0,8,0,0,0.9964788732394366,true
0.07,0,9,0,0,1.0,true
0.07,0,10,0,0,0.9957983193277311,true
0.07,285,11,15,1,1.0,true
0.07,0,12,0,0,1.0,true
0.07,0,13,0,0,0.9971590909090909,false
0.07,0,14,0,0,0.9726027397260274,false
0.07,0,15,0,0,1.0,true
0.07,0,16,0,0,1.0,false
0.07,0,17,0,0,0.98989898989899,true
0.07,0,18,0,0,1.0,false
0.07,255,19,45,1,1.0,false
0.07,285,20,15,1,1.0,false
0.07,0,21,0,0,1.0,true
0.07,0,22,0,0,1.0,true
0.07,0,23,0,0,0.9964788732394366,false
0.07,0,24,0,0,0.9885714285714285,false
0.07,0,25,0,0,1.0,false
0.07,0,26,0,0,0.9931506849315068,false
0.07,255,27,45,6,1.0,false
0.07,0,28,0,0,0.9975845410628019,false
0.07,285,29,15,1,1.0,false
0.07,0,30,0,0,0.9794520547945206,true
0.07,0,31,0,0,0.996268656716418,true
0.07,0,32,0,0,1.0,true
0.07,0,33,0,0,0.9855072463768116,true
0.07,0,34,0,0,1.0,false
0.07,255,35,45,5,1.0,true
0.07,0,36,0,0,1.0,false
0.07,0,37,0,0,1.0,true
0.07,285,38,15,3,1.0,false
0.07,0,39,0,0,0.9925373134328358,true
0.07,0,40,0,0,0.9907407407407407,false
0.07,0,41,0,0,0.9944029850746269,false
0.07,0,42,0,0,0.9786931818181818,false
0.07,255,43,45,3,1.0,true
0.07,0,44,0,0,0.9813432835820896,true
0.07,0,45,0,0,1.0,false
0.07,0,46,0,0,1.0,true
0.07,285,47,15,1,0.9857954545454546,false
0.07,0,48,0,0,1.0,true
0.07,0,49,0,0,0.996268656716418,true
0.07,0,50,0,0,0.988833746898263,false
0.07,255,1,45,5,0.9841269841269841,true
0.07,0,2,0,0,0.9849624060150376,true
0.07,0,3,0,0,1.0,false
0.07,0,4,0,0,0.9772727272727273,false
0.07,0,5,0,0,0.9767441860465116,false
0.07,285,6,15,2,1.0,false
0.07,0,7,0,0,1.0,false
0.07,0,8,0,0,1.0,true
0.07,0,9,0,0,0.9957264957264957,true
0.07,0,10,0,0,1.0,false
0.07,0,11,0,0,0.9957264957264957,true
0.07,0,12,0,0,1.0,false
