lamb,seed,n_unobs,n_pos,auc
0.0327,32,210,2,0.9807692307692308
0.0327,33,210,3,0.8309178743961353
0.0327,34,210,7,0.979591836734694
0.0327,35,210,5,0.6839024390243902
0.0327,36,210,8,0.9823638613861384
0.0327,37,210,11,0.9655093650068524
0.0327,38,210,8,0.9876237623762376
0.0327,39,210,7,0.9130893736805068
0.0327,40,210,4,0.9848300970873788
0.0327,41,210,3,0.6247987117552334
0.0327,42,210,6,0.827205882352941
0.0327,43,210,11,0.7964824120603016
0.0327,44,210,8,0.9207920792079208
0.0327,45,210,9,0.9402985074626866
0.0327,46,210,6,0.9955065359477124
0.0327,47,210,13,0.7979304959000391
0.0327,48,210,7,0.99155524278677
0.0327,49,210,3,0.9887278582930756
0.0327,50,210,6,0.988562091503268
0.0483,1,210,14,0.8033892128279884
0.0483,2,210,15,0.8789743589743589
0.0483,3,210,10,0.7745000000000001
0.0483,4,210,6,0.741421568627451
0.0483,5,210,9,0.9856274184632392
0.0483,6,210,13,0.985357282311597
0.0483,7,210,12,0.7937710437710437
0.0483,8,210,6,0.7189542483660131
0.0483,9,210,15,0.9905982905982904
0.0483,10,210,5,0.7746341463414634
0.0483,11,210,7,0.9985925404644616
0.0483,12,210,7,0.7670654468684025
0.0483,13,210,11,0.9860666971219736
0.0483,14,210,13,0.9802811401796172
0.0483,15,210,12,0.7201178451178452
0.0483,16,210,2,0.9927884615384616
0.0483,17,210,5,0.8873170731707317
0.0483,18,210,9,0.9939192924267553
0.0483,19,210,7,0.9947220267417312
0.0483,20,210,16,0.9932345360824744
0.0483,21,210,2,1.0
0.0483,22,210,18,0.7255497685185185
0.0483,23,210,4,0.9963592233009708
0.0483,24,210,12,0.9678030303030304
0.0483,25,210,8,0.870049504950495
0.0483,26,210,11,0.9901781635449978
0.0483,27,210,6,0.5
0.0483,28,210,11,0.9004111466423025
0.0483,29,210,12,0.9764309764309764
0.0483,30,210,4,0.9908980582524272
0.0483,31,210,17,0.5
0.0483,32,210,10,0.9975
0.0483,33,210,3,0.5
0.0483,34,210,18,0.6941550925925927
0.0483,35,210,7,0.627375087966221
0.0483,36,210,12,0.9917929292929292
0.0483,37,210,6,0.9015522875816994
0.0483,38,210,6,0.9959150326797386
0.0483,39,210,3,0.823671497584541
0.0483,40,210,13,0.8002733307301835
0.0483,41,210,12,0.9917929292929292
0.0483,42,210,7,0.9904996481351162
0.0483,43,210,22,0.906068665377176
0.0483,44,210,26,0.9910117056856188
0.0483,45,210,9,0.933665008291874
0.0483,46,210,9,0.5967385295743505
0.0483,47,210,15,0.9952136752136752
0.0483,48,210,10,0.97975
0.0483,49,210,18,0.976273148148148
0.0483,50,210,17,0.955653764096312
0.0713,1,210,10,0.9995
0.0713,2,210,6,0.8112745098039215
0.0713,3,210,19,0.988426563791678
0.0713,4,210,9,0.9994472084024324
0.0713,5,210,19,0.981262055662717
0.0713,6,210,20,0.9726315789473684
0.0713,7,210,14,0.9697521865889212
0.0713,8,210,12,0.9328703703703702
0.0713,9,210,22,0.9720744680851064
0.0713,10,210,2,0.7307692307692307
0.0713,11,210,23,0.9808184143222508
0.0713,12,210,11,0.9709913202375514
0.0713,13,210,14,0.97649416909621
0.0713,14,210,14,0.9868804664723032
0.0713,15,210,6,0.9934640522875816
0.0713,16,210,18,0.9887152777777776
0.0713,17,210,11,0.816126084970306
0.0713,18,210,18,0.992042824074074
0.0713,19,210,16,0.9023840206185568
0.0713,20,210,12,0.9852693602693604
0.0713,21,210,14,0.6169825072886297
0.0713,22,210,15,0.9900854700854702
0.0713,23,210,13,0.9960952752830924
0.0713,24,210,5,0.8770731707317073
0.0713,25,210,12,0.995791245791246
0.0713,26,210,25,0.9823783783783784
0.0713,27,210,4,0.9720873786407768
0.0713,28,210,19,0.994351060898319
0.0713,29,210,21,0.9886621315192744
0.0713,30,210,8,0.9248143564356436
0.0713,31,210,22,0.9397969052224372
0.0713,32,210,17,0.9702834501676318
0.0713,33,210,12,0.9583333333333331
0.0713,34,210,31,0.9881960713642098
0.0713,35,210,20,0.9923684210526316
0.0713,36,210,13,0.9771573604060914
0.0713,37,210,24,0.7452956989247312
0.0713,38,210,16,0.997422680412371
0.0713,39,210,27,0.9833029751062538
0.0713,40,210,23,0.9904673331783308
0.0713,41,210,12,0.986952861952862
0.0713,42,210,17,0.7976226760134104
0.0713,43,210,21,0.9879062736205592
0.0713,44,210,7,0.9922589725545392
0.0713,45,210,15,0.9793162393162392
0.0713,46,210,27,0.969135802469136
0.0713,47,210,17,0.9890277354465102
0.0713,48,210,11,0.9956601187756966
0.0713,49,210,12,0.9050925925925928
0.0713,50,210,12,0.9932659932659932
0.1052,1,210,20,0.976315789473684
0.1052,2,210,32,0.7842345505617977
0.1052,3,210,30,0.9880555555555556
0.1052,4,210,23,0.9796558939781446
0.1052,5,210,15,0.9941880341880344
0.1052,6,210,28,0.9631083202511774
0.1052,7,210,20,0.9910526315789474
0.1052,8,210,23,0.9977912113461986
0.1052,9,210,36,0.990022349936143
0.1052,10,210,44,0.9077217962760132
0.1052,11,210,26,0.9504598662207356
0.1052,12,210,34,0.9852105614973262
0.1052,13,210,15,0.9911111111111112
0.1052,14,210,14,0.9611880466472305
0.1052,15,210,32,0.9197682584269664
0.1052,16,210,10,0.9825
0.1052,17,210,8,0.9981435643564356
0.1052,18,210,30,0.9946296296296296
0.1052,19,210,27,0.9943331309451529
0.1052,20,210,26,0.9559991638795988
0.1052,21,210,36,0.9862707535121328
0.1052,22,210,36,0.9915389527458494
0.1052,23,210,20,0.9848684210526316
0.1052,24,210,7,0.9912033779028852
0.1052,25,210,8,0.9365717821782178
0.1052,26,210,37,0.9774254022808936
0.1052,27,210,13,0.9882858258492776
0.1052,28,210,19,0.9582529622485532
0.1052,29,210,23,0.9718670076726345
0.1052,30,210,22,0.9834381044487428
0.1052,31,210,19,0.9913199228437586
0.1052,32,210,32,0.956372893258427
0.1052,33,210,19,0.9801598236428768
0.1052,34,210,17,0.9844559585492229
0.1052,35,210,14,0.9899781341107872
0.1052,36,210,27,0.9612426634284555
0.1052,37,210,13,0.8367825068332682
0.1052,38,210,23,0.9809346663566614
0.1052,39,210,10,0.979
0.1052,40,210,12,0.9877946127946128
0.1052,41,210,29,0.9727567155648696
0.1052,42,210,34,0.9731784759358288
0.1052,43,210,48,0.9450874485596708
0.1052,44,210,32,0.9868328651685394
0.1052,45,210,25,0.9982702702702704
0.1052,46,210,24,0.9854390681003584
0.1052,47,210,17,0.9931423346540688
0.1052,48,210,35,0.987591836734694
0.1052,49,210,37,0.9802374628964224
0.1052,50,210,40,0.9535294117647058
0.1554,1,210,27,0.975814612426634
0.1554,2,210,26,0.9974916387959868
0.1554,3,210,21,0.9952128999748048
0.1554,4,210,49,0.9601977436937508
0.1554,5,210,30,0.9723148148148149
0.1554,6,210,35,0.9748571428571428
0.1554,7,210,30,0.9933333333333334
0.1554,8,210,40,0.9021323529411764
0.1554,9,210,33,0.9583975346687212
0.1554,10,210,57,0.9840614608416466
0.1554,11,210,26,0.992997491638796
0.1554,12,210,31,0.999639574698144
0.1554,13,210,34,0.9049131016042782
0.1554,14,210,23,0.9902348291095094
0.1554,15,210,45,0.9949494949494948
0.1554,16,210,3,1.0
0.1554,17,210,23,0.9453615438270172
0.1554,18,210,28,0.9597723704866562
0.1554,19,210,9,0.992260917634052
0.1554,20,210,49,0.9683736848776776
0.1554,21,210,27,0.9951426836672738
0.1554,22,210,16,0.981153350515464
0.1554,23,210,51,0.9677518806264644
0.1554,24,210,4,0.875
0.1554,25,210,44,0.9669359255202628
0.1554,26,210,20,0.999342105263158
0.1554,27,210,31,0.91295728960173
0.1554,28,210,49,0.9655849917606794
0.1554,29,210,37,0.9975785033588502
0.1554,30,210,21,0.955026455026455
0.1554,31,210,35,0.9887346938775512
0.1554,32,210,87,0.9770582188580508
0.1554,33,210,60,0.9651666666666668
0.1554,34,210,5,0.6985365853658536
0.1554,35,210,31,0.988286177689674
0.1554,36,210,42,0.973001700680272
0.1554,37,210,36,0.998882503192848
0.1554,38,210,24,0.9919354838709676
0.1554,39,210,21,0.99848828420257
0.1554,40,210,7,1.0
0.1554,41,210,37,0.9614903921262302
0.1554,42,210,61,0.9851468808449776
0.1554,43,210,22,0.97678916827853
0.1554,44,210,57,0.9833161334709324
0.1554,45,210,28,0.931416797488226
0.1554,46,210,26,0.9615384615384616
0.1554,47,210,45,0.985925925925926
0.1554,48,210,73,0.986901309869013
0.1554,49,210,34,0.9946524064171124
0.1554,50,210,33,0.960794384523198
0.2294,1,210,102,0.9302832244008714
0.2294,2,210,86,0.9836834208552138
0.2294,3,210,81,0.9491817398794142
0.2294,4,210,79,0.9349212484298
0.2294,5,210,61,0.9729343162064034
0.2294,6,210,23,0.9600093001627528
0.2294,7,210,44,0.975629791894852
0.2294,8,210,53,0.9138925609902656
0.2294,9,210,81,0.977988324241554
0.2294,10,210,14,0.9979956268221574
0.2294,11,210,56,0.9922889610389608
0.2294,12,210,40,0.9957352941176472
0.2294,13,210,84,0.973167044595616
0.2294,14,210,66,0.97611531986532
0.2294,15,210,82,0.9847560975609756
0.2294,16,210,60,0.9913888888888888
0.2294,17,210,82,0.9713700457317074
0.2294,18,210,79,0.9519277224852642
0.2294,19,210,85,0.9855529411764706
0.2294,20,210,22,0.9516441005802708
0.2294,21,210,57,0.986010778580438
0.2294,22,210,70,0.9956122448979592
0.2294,23,210,49,0.9756623146152872
0.2294,24,210,82,0.9575552591463414
0.2294,25,210,34,0.9535427807486632
0.2294,26,210,31,0.94701748062714
0.2294,27,210,65,0.9963925729442972
0.2294,28,210,82,0.9825647865853658
0.2294,29,210,35,0.9965714285714286
0.2294,30,210,66,0.981797138047138
0.2294,31,210,39,0.949842555105713
0.2294,32,210,31,0.9927914939628762
0.2294,33,210,47,0.9692598877431148
0.2294,34,210,62,0.9681233653007846
0.2294,35,210,17,0.9690643096616884
0.2294,36,210,59,0.9805253114827702
0.2294,37,210,64,0.9793450342465754
0.2294,38,210,48,0.9646347736625516
0.2294,39,210,60,0.9750555555555556
